title id,course_id,title,creq,upd
1,1,Dart Basic,,
2,1,Dart Intermediate,,
3,1,Dart Advanced,,
4,1, Introduction to Flutter Course,,
5,1,UI Components Material Design Widgets,,
6,1,Statesful & Stateless Widgets,,
7,1,Flutter Layouts ,,
8,1,Navigation and Routing,,
9,1,Forms and Gestures,,
10,1,User Interface,,
11,1,Advance UI ,,
12,1,Asynchronous Function,,
13,1,Animation ,,
14,1,REST API\Networking,,
15,1,Persistence and SQ lite,,
16,1,Designs,,
17,1,Form,,
18,1,Effect,,
19,1,Images ,,
20,1,Lists,,
21,1,Navigation and Routing,,
22,1,Maintenance ,,
23,1,State Mangement ,,
24,1,Bloc,,
25,1,Getx ,,
26,1,Provider,,
27,1,Testing ,,
28,1,Tips and Tricks ,,
29,1,FAQ's ,,
30,1,Interview Questions ,,
31,1,tips and Tricks ,,
32,1,Performance and optimization,,
33,1,Deployments,,
34,1,Iconography ,,
35,1,Material Theming ,,
36,1,Creating useful bug reports,,
37,1,Authentication ,,
38,1,Some other topics,,
39,1,GetX State Management ,,
40,1,LOCAL DATA BASE,,
